Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR015422:PyrdxlP-dep_Trfase_small	4	1.6736401673640167	0.04043794694195261	112280792, 112280861, 112278648, 112280260	200	97	25507	5.259175257731959	0.9999999957526178	0.4105330700411276	0.39295135397940906
UP_SEQ_FEATURE	BINDING:axial binding residue	6	2.510460251046025	0.04054238548944373	112284479, 112284722, 112280636, 112280847, 112276077, 112293641	195	256	26484	3.183173076923077	0.9938457852427521	0.6233391769001974	0.6132035805278364
GOTERM_MF_DIRECT	GO:0020037~heme binding	7	2.928870292887029	0.04097102880215818	112284479, 112284722, 112280636, 112280847, 112276077, 112293641, 112287872	164	282	18277	2.7663682753848815	0.9971395012056931	0.3386047595976621	0.3168373107663839
GOTERM_MF_DIRECT	GO:0003677~DNA binding	17	7.112970711297072	0.041116292236858976	112277409, 112274525, 112281109, 112282738, 112277463, 112279544, 112283796, 112282168, 112278384, 112284379, 112289911, 112290558, 112284328, 112286102, 112282694, 112281055, 112288234	164	1116	18277	1.697640746568756	0.9971995259488068	0.3386047595976621	0.3168373107663839
INTERPRO	IPR036259:MFS_trans_sf	5	2.092050209205021	0.04165098275610009	112286470, 112293481, 112279419, 112285070, 112278171	200	166	25507	3.8414156626506024	0.9999999976472881	0.4138512541935902	0.39612743174418596
GOTERM_BP_DIRECT	GO:0009960~endosperm development	2	0.8368200836820083	0.04367119875523385	112290295, 112278046	136	5	15186	44.66470588235294	0.9941138399106083	0.3556083327211899	0.32753399066425387
GOTERM_BP_DIRECT	GO:0006094~gluconeogenesis	3	1.2552301255230125	0.04912159849805489	112277588, 112277699, 112287890	136	40	15186	8.374632352941177	0.9969494859766461	0.3733241485852172	0.34385118948638427
SMART	SM00353:HLH	4	1.6736401673640167	0.05073088311250351	112290295, 112278297, 112292639, 112278046	58	123	8393	4.705915335015419	0.8296908558801088	0.43121250645627984	0.41852978567815396
INTERPRO	IPR002413:V5_allergen-like	2	0.8368200836820083	0.05335685717345162	112282267, 112295138	200	7	25507	36.43857142857143	0.9999999999924317	0.49835304600003816	0.47701030313065745
INTERPRO	IPR002403:Cyt_P450_E_grp-IV	2	0.8368200836820083	0.05335685717345162	112284722, 112280636	200	7	25507	36.43857142857143	0.9999999999924317	0.49835304600003816	0.47701030313065745
INTERPRO	IPR002480:DAHP_synth_2	2	0.8368200836820083	0.05335685717345162	112276163, 112293910	200	7	25507	36.43857142857143	0.9999999999924317	0.49835304600003816	0.47701030313065745
UP_KW_BIOLOGICAL_PROCESS	KW-0329~Glyoxylate bypass	2	0.8368200836820083	0.05527359951420669	112284910, 112284299	56	5	4866	34.75714285714286	0.7845912194154963	0.29847743737671617	0.2763679975710335
INTERPRO	IPR015424:PyrdxlP-dep_Trfase	4	1.6736401673640167	0.05751234729648998	112280792, 112280861, 112278648, 112280260	200	112	25507	4.554821428571429	0.9999999999990301	0.5266326703423689	0.504078808657471
UP_KW_MOLECULAR_FUNCTION	KW-0012~Acyltransferase	6	2.510460251046025	0.05836308071488045	112272830, 112276927, 112274269, 112273835, 112278884, 112276782	93	169	7419	2.8322198892918498	0.7492043558739738	0.6711754282211252	0.6711754282211252
KEGG_PATHWAY	ppp00965:Betalain biosynthesis	2	0.8368200836820083	0.05959986539200209	112280792, 112278648	54	6	5204	32.123456790123456	0.9536943344301771	0.3104101656098498	0.2793691490488648
UP_KW_LIGAND	KW-0104~Cadmium	2	0.8368200836820083	0.060727081795023743	112276163, 112293910	48	7	5278	31.416666666666668	0.6552846596257245	0.25809009762885093	0.25809009762885093
INTERPRO	IPR018371:Chitin-binding_1_CS	2	0.8368200836820083	0.060744386013960636	112283224, 112285454	200	8	25507	31.88375	0.999999999999805	0.5455313128561464	0.5221680874661616
GOTERM_MF_DIRECT	GO:0003849~3-deoxy-7-phosphoheptulonate synthase activity	2	0.8368200836820083	0.06079224547069528	112276163, 112293910	164	7	18277	31.84146341463415	0.9998463141967459	0.4543589566669812	0.42515016659553234
GOTERM_MF_DIRECT	GO:0030170~pyridoxal phosphate binding	4	1.6736401673640167	0.061663001261947445	112280792, 112280861, 112278648, 112280260	164	101	18277	4.413668196087901	0.9998650298494194	0.4543589566669812	0.42515016659553234
KEGG_PATHWAY	ppp00350:Tyrosine metabolism	3	1.2552301255230125	0.06208203312196996	112280792, 112276371, 112278648	54	40	5204	7.227777777777778	0.9594264725265305	0.3104101656098498	0.2793691490488648
INTERPRO	IPR015421:PyrdxlP-dep_Trfase_major	4	1.6736401673640167	0.06255695554954863	112280792, 112280861, 112278648, 112280260	200	116	25507	4.397758620689656	0.9999999999999208	0.5512094007856454	0.5276030024650611
GOTERM_CC_DIRECT	GO:0005576~extracellular region	5	2.092050209205021	0.06399933574478253	112282267, 112295138, 112281820, 112293116, 112276077	122	210	16921	3.302302888368462	0.8713052397031467	0.33066323468137643	0.29866356680898515
INTERPRO	IPR017441:Protein_kinase_ATP_BS	9	3.765690376569038	0.06578754901693917	112278174, 112279430, 112290834, 112293529, 112296161, 112274579, 112282328, 112291448, 112279987	200	547	25507	2.098382084095064	0.9999999999999842	0.5689404702020481	0.5445747113068854
SMART	SM00198:SCP	2	0.8368200836820083	0.06590963076877276	112282267, 112295138	58	10	8393	28.941379310344825	0.9015484837226734	0.4481854892276548	0.4350035630739002
UP_SEQ_FEATURE	DOMAIN:BHLH	4	1.6736401673640167	0.06682403674025313	112290295, 112278297, 112292639, 112278046	195	127	26484	4.277649909145972	0.9997979234696242	0.8595301583726613	0.8455540582365204
UP_SEQ_FEATURE	DOMAIN:SCP	2	0.8368200836820083	0.07089537420826451	112282267, 112295138	195	10	26484	27.163076923076925	0.9998819819195184	0.8595301583726613	0.8455540582365204
UP_KW_DOMAIN	KW-0433~Leucine-rich repeat	8	3.3472803347280333	0.07139889283506061	112283686, 112278174, 112290834, 112294854, 112296161, 112274579, 112280988, 112280470	102	424	11792	2.1812800591934884	0.5572881279020505	0.3926939105928334	0.3926939105928334
GOTERM_MF_DIRECT	GO:0015171~amino acid transmembrane transporter activity	3	1.2552301255230125	0.07333647995505646	112279293, 112289353, 112283067	164	50	18277	6.68670731707317	0.9999766068175158	0.5133553596853953	0.4803539437056198
INTERPRO	IPR035940:CAP_sf	2	0.8368200836820083	0.07534779418057068	112282267, 112295138	200	10	25507	25.507	0.9999999999999999	0.6066796531435604	0.5806976551502603
INTERPRO	IPR014044:CAP_dom	2	0.8368200836820083	0.07534779418057068	112282267, 112295138	200	10	25507	25.507	0.9999999999999999	0.6066796531435604	0.5806976551502603
INTERPRO	IPR018244:Allrgn_V5/Tpx1_CS	2	0.8368200836820083	0.07534779418057068	112282267, 112295138	200	10	25507	25.507	0.9999999999999999	0.6066796531435604	0.5806976551502603
INTERPRO	IPR001283:CRISP-related	2	0.8368200836820083	0.07534779418057068	112282267, 112295138	200	10	25507	25.507	0.9999999999999999	0.6066796531435604	0.5806976551502603
UP_KW_BIOLOGICAL_PROCESS	KW-0804~Transcription	15	6.2761506276150625	0.07553232208409846	112290295, 112281109, 112282738, 112277463, 112278046, 112279544, 112282168, 112281100, 112278297, 112284379, 112289911, 112292639, 112284328, 112282694, 112281055	56	833	4866	1.5646973074944261	0.8800288692665896	0.33989544937844307	0.3147180086837436
INTERPRO	IPR011598:bHLH_dom	4	1.6736401673640167	0.07886113203219228	112290295, 112278297, 112292639, 112278046	200	128	25507	3.98546875	1.0	0.6242059094751491	0.5974733223455924
SMART	SM00270:ChtBD1	2	0.8368200836820083	0.08483658266510889	112283224, 112285454	58	13	8393	22.26259946949602	0.950914395281341	0.48074063510228376	0.4666012046580989
UP_SEQ_FEATURE	TRANSMEM:Helical	55	23.01255230125523	0.0872931778480244	112280988, 112275312, 112281836, 112284479, 112279430, 112281367, 112286610, 112287224, 112283067, 112285321, 112294621, 112287097, 112285070, 112285828, 112279322, 112286966, 112276371, 112293529, 112295070, 112281798, 112296161, 112282328, 112295709, 112289353, 112288370, 112286470, 112279419, 112293481, 112294854, 112275255, 112275574, 112280847, 112293641, 112285469, 112280334, 112279293, 112294092, 112280291, 112276819, 112295810, 112274579, 112279987, 112273085, 112276710, 112293116, 112293234, 112281375, 112278174, 112284722, 112276151, 112290834, 112279382, 112283714, 112278171, 112282866	195	6205	26484	1.2038430546085663	0.9999867946627072	0.8595301583726613	0.8455540582365204
KEGG_PATHWAY	ppp04016:MAPK signaling pathway - plant	4	1.6736401673640167	0.08868676825223804	112283224, 112295138, 112285454, 112287224	54	104	5204	3.7065527065527064	0.9903753753529959	0.40312167387380926	0.36280950648642835
INTERPRO	IPR036638:HLH_DNA-bd_sf	4	1.6736401673640167	0.08914091716691273	112290295, 112278297, 112292639, 112278046	200	135	25507	3.778814814814815	1.0	0.6758339186787421	0.6468902819044919
INTERPRO	IPR016283:Glyco_hydro_19	2	0.8368200836820083	0.08972527400017562	112283224, 112285454	200	12	25507	21.255833333333335	1.0	0.6758339186787421	0.6468902819044919
INTERPRO	IPR039455:EPFL	2	0.8368200836820083	0.08972527400017562	112275713, 112275574	200	12	25507	21.255833333333335	1.0	0.6758339186787421	0.6468902819044919
UP_SEQ_FEATURE	ACT_SITE:Proton donor	4	1.6736401673640167	0.09085743876823753	112283224, 112273017, 112285454, 112291110	195	145	26484	3.746631299734748	0.9999918391626661	0.8595301583726613	0.8455540582365204
UP_SEQ_FEATURE	DOMAIN:Chitin-binding type-1	2	0.8368200836820083	0.09117210590384074	112283224, 112285454	195	13	26484	20.894674556213015	0.9999921793523998	0.8595301583726613	0.8455540582365204
INTERPRO	IPR001002:Chitin-bd_1	2	0.8368200836820083	0.09683037972443488	112283224, 112285454	200	13	25507	19.62076923076923	1.0	0.6956890358663245	0.6658950728741907
INTERPRO	IPR036861:Endochitinase-like_sf	2	0.8368200836820083	0.09683037972443488	112283224, 112285454	200	13	25507	19.62076923076923	1.0	0.6956890358663245	0.6658950728741907
INTERPRO	IPR051564:LRR_receptor-like_kinase	2	0.8368200836820083	0.09683037972443488	112290834, 112274579	200	13	25507	19.62076923076923	1.0	0.6956890358663245	0.6658950728741907
UP_SEQ_FEATURE	DOMAIN:SBP-type	2	0.8368200836820083	0.09783270095298584	112277409, 112283796	195	14	26484	19.4021978021978	0.999996835457163	0.8595301583726613	0.8455540582365204
